"","X","parent"
"623",623,68.5
"624",624,68.5
"625",625,68.5
"626",626,68.5
"627",627,68.5
"628",628,68.5
"629",629,68.5
"630",630,68.5
"631",631,68.5
"632",632,68.5
"633",633,67.5
"634",634,67.5
"635",635,67.5
"636",636,67.5
"637",637,67.5
"638",638,67.5
"639",639,67.5
"640",640,67.5
"641",641,67.5
"642",642,67.5
"643",643,67.5
"644",644,67.5
"645",645,67.5
"646",646,67.5
"647",647,67.5
"648",648,67.5
"649",649,67.5
"650",650,67.5
"651",651,67.5
"652",652,67.5
"653",653,67.5
"654",654,67.5
"655",655,67.5
"656",656,67.5
"657",657,67.5
"658",658,67.5
"659",659,67.5
"660",660,67.5
"661",661,67.5
"662",662,67.5
"663",663,67.5
"664",664,67.5
"665",665,67.5
"666",666,67.5
"667",667,67.5
"668",668,67.5
"669",669,67.5
"670",670,67.5
"671",671,66.5
"672",672,66.5
"673",673,66.5
"674",674,66.5
"675",675,66.5
"676",676,66.5
"677",677,66.5
"678",678,66.5
"679",679,66.5
"680",680,66.5
"681",681,66.5
"682",682,66.5
"683",683,66.5
"684",684,65.5
"685",685,65.5
"686",686,65.5
"687",687,65.5
"688",688,65.5
"689",689,65.5
"690",690,65.5
"691",691,64.5
"692",692,64.5
"693",693,64
"694",694,72.5
"695",695,71.5
"696",696,71.5
"697",697,71.5
"698",698,71.5
"699",699,71.5
"700",700,71.5
"701",701,71.5
"702",702,71.5
"703",703,71.5
"704",704,71.5
"705",705,70.5
"706",706,70.5
"707",707,70.5
"708",708,70.5
"709",709,70.5
"710",710,70.5
"711",711,70.5
"712",712,70.5
"713",713,70.5
"714",714,70.5
"715",715,70.5
"716",716,70.5
"717",717,70.5
"718",718,70.5
"719",719,69.5
"720",720,69.5
"721",721,69.5
"722",722,69.5
"723",723,69.5
"724",724,69.5
"725",725,69.5
"726",726,69.5
"727",727,69.5
"728",728,69.5
"729",729,69.5
"730",730,69.5
"731",731,69.5
"732",732,69.5
"733",733,69.5
"734",734,69.5
"735",735,69.5
"736",736,69.5
"737",737,69.5
"738",738,69.5
"739",739,69.5
"740",740,69.5
"741",741,69.5
"742",742,69.5
"743",743,69.5
"744",744,68.5
"745",745,68.5
"746",746,68.5
"747",747,68.5
"748",748,68.5
"749",749,68.5
"750",750,68.5
"751",751,68.5
"752",752,68.5
"753",753,68.5
"754",754,68.5
"755",755,68.5
"756",756,68.5
"757",757,68.5
"758",758,68.5
"759",759,68.5
"760",760,68.5
"761",761,68.5
"762",762,68.5
"763",763,68.5
"764",764,68.5
"765",765,67.5
"766",766,67.5
"767",767,67.5
"768",768,67.5
"769",769,67.5
"770",770,67.5
"771",771,67.5
"772",772,67.5
"773",773,67.5
"774",774,67.5
"775",775,67.5
"776",776,67.5
"777",777,67.5
"778",778,67.5
"779",779,67.5
"780",780,67.5
"781",781,67.5
"782",782,67.5
"783",783,67.5
"784",784,66.5
"785",785,66.5
"786",786,66.5
"787",787,66.5
"788",788,65.5
"789",789,65.5
"790",790,65.5
"791",791,65.5
"792",792,65.5
"793",793,72.5
"794",794,72.5
"795",795,71.5
"796",796,71.5
"797",797,71.5
"798",798,71.5
"799",799,70.5
"800",800,70.5
"801",801,70.5
"802",802,70.5
"803",803,70.5
"804",804,70.5
"805",805,70.5
"806",806,69.5
"807",807,69.5
"808",808,69.5
"809",809,69.5
"810",810,69.5
"811",811,69.5
"812",812,69.5
"813",813,69.5
"814",814,69.5
"815",815,69.5
"816",816,69.5
"817",817,69.5
"818",818,69.5
"819",819,69.5
"820",820,69.5
"821",821,69.5
"822",822,69.5
"823",823,69.5
"824",824,69.5
"825",825,69.5
"826",826,68.5
"827",827,68.5
"828",828,68.5
"829",829,68.5
"830",830,68.5
"831",831,68.5
"832",832,68.5
"833",833,68.5
"834",834,68.5
"835",835,68.5
"836",836,68.5
"837",837,68.5
"838",838,68.5
"839",839,68.5
"840",840,68.5
"841",841,68.5
"842",842,68.5
"843",843,68.5
"844",844,67.5
"845",845,67.5
"846",846,67.5
"847",847,67.5
"848",848,67.5
"849",849,67.5
"850",850,67.5
"851",851,67.5
"852",852,67.5
"853",853,67.5
"854",854,67.5
"855",855,65.5
"856",856,65.5
"857",857,73
"858",858,72.5
"859",859,72.5
"860",860,72.5
"861",861,72.5
"862",862,72.5
"863",863,72.5
"864",864,72.5
"865",865,71.5
"866",866,71.5
"867",867,71.5
"868",868,71.5
"869",869,71.5
"870",870,71.5
"871",871,71.5
"872",872,71.5
"873",873,71.5
"874",874,70.5
"875",875,70.5
"876",876,70.5
"877",877,70.5
"878",878,69.5
"879",879,69.5
"880",880,69.5
"881",881,69.5
"882",882,69.5
"883",883,69.5
"884",884,69.5
"885",885,69.5
"886",886,69.5
"887",887,69.5
"888",888,69.5
"889",889,68.5
"890",890,68.5
"891",891,68.5
"892",892,68.5
"893",893,67.5
"894",894,67.5
"895",895,67.5
"896",896,67.5
"897",897,65.5
"898",898,73
"899",899,73
"900",900,73
"901",901,72.5
"902",902,72.5
"903",903,71.5
"904",904,71.5
"905",905,70.5
"906",906,70.5
"907",907,70.5
"908",908,69.5
"909",909,69.5
"910",910,69.5
"911",911,69.5
"912",912,68.5
"913",913,68.5
"914",914,68.5
"915",915,72.5
"916",916,72.5
"917",917,72.5
"918",918,72.5
"919",919,71.5
"920",920,71.5
"921",921,70.5
"922",922,70.5
"923",923,70.5
"924",924,69.5
"925",925,69.5
"926",926,69.5
"927",927,69.5
"928",928,69.5
